doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH
WHO_TB_handbook_module1_TPT_2024,Table 3.,1,Characteristic,6H,3HP,3HR,4R,1HP,H + CPT + B6 (Q-TIB),6Lfx
WHO_TB_handbook_module1_TPT_2024,Table 3.,2,Drugs(s),Isoniazid,Isoniazid + rifapentine,Isoniazid + rifampicin,Rifampicin,Isoniazid + rifapentine,Isoniazid + cotrimoxazole + pyridoxine,Lfx
WHO_TB_handbook_module1_TPT_2024,Table 3.,3,Duration (months),6,3,3,4,1,6,6
WHO_TB_handbook_module1_TPT_2024,Table 3.,4,Frequency,Daily,Weekly,Daily,Daily,Daily,Daily,Daily
WHO_TB_handbook_module1_TPT_2024,Table 3.,5,Total no. of doses,182,12,84,120,28,182,182
WHO_TB_handbook_module1_TPT_2024,Table 3.,6,"Pill burden per dose (total per regimen), person weighing 50 kg using adult formulations a",1 (182),6 singles (72) or 3 with FDC (36),3 (252),3 (360),3 (84),1 (182),1 (182)
WHO_TB_handbook_module1_TPT_2024,Table 3.,7,Cost of a full treatment b,Adult: US$ 3 Child: US$ 3 (non- dispersible ); US$ 25 (dispersible),Adult: US$ 10 (P-300 mg / H -300 mg FDC) Child: US$ 7 (P-150 mg / H-100 mg singles),Adult: US$ 12 (2FDC ); US$ 28 (R-150 mg / 300 mg; H-300 mg singles) Child: US$ 19 (FDC),Adult: US$ 47 (R-300 mg singles),≥ 13 years: US$ 17 (FDC+P-300 mg single ); US$ 19 (P-300 mg / H-300 mg singles),Adult: US$ 14,Adult: US$ 9 (Lfx-500 mg) Child: US$ 5 (Lfx-250 mg non-dispersible); US$ 44 (Lfx-100 mg dispersible)
WHO_TB_handbook_module1_TPT_2024,Table 3.,8,Children,All ages; child-friendly (dispersible) formulation available; preferred for children with HIV on LPV/r or NVP,All ages; childfriendly (dispersible) formulation available,All ages; child-friendly (dispersible) formulation available,"All ages; no child-friendly formulation available, not generally feasible for children < 25 kg",≥ 13 years,Adults and adolescents; no child-friendly formulations available,All ages; child-friendly (dispersible) formulation available
WHO_TB_handbook_module1_TPT_2024,Table 3.,9,Pregnant women,Safe for use c,Not known,"Safe for use c,d","May be safe, although no safety or efficacy data available for this population d",Not known,Safe for use c,"May be safe, although no safety or efficacy data available specifically in this population"
WHO_TB_handbook_module1_TPT_2024,Table 3.,10,Interactions with ART e,No restriction,"Contraindicated: All protease inhibitors (PIs), nevirapine (NVP), doravirine and etravirine, tenofovir alafenamide (TAF) Use: tenofovirdisoproxil fumarate (TDF), EFV, DTG, RAL","Contraindicated: All PIs, NVP, doravirine and etravirine Use with caution: TAF Adjust dose: DTG, RAL Use: TDF, EFV","Contraindicated: All PIs, NVP, doravirine and etravirine, TAF Adjust dose: DTG, RAL Use: TDF, EFV","Contraindicated: All PIs, NVP, doravirine and etravirine, TAF Use: TDF, EFV, DTG, RAL",No restriction,No restriction (may interfere with lamivudine clearance)
WHO_TB_handbook_module1_TPT_2024,Table 3.,11,Toxicity,"Hepatotoxicity (more), peripheral neuropathy, rash, gastrointestinal upset","Flu-like syndrome, hypersensitivity reactions, gastrointestinal upset, orange discolouration of body fluids, rash, hepatotoxicity (less)","Hypersensitivity reactions, hepato- toxicity (less), rash, gastrointestinal upset, hypoprothrombinaemia , orange discolouration of body fluids","Rash, gastrointestinal upset, hepatotoxicity (less), hypoprothrombinaemia , orange discolouration of body fluids","Hepatotoxicity (more), hypersensitivity reaction, rash, gastrointestinal upset, orange discolouration of body fluids","Hepatotoxicity, rash, gastrointestinal upset","Diarrhoea , nausea and bloating, arthralgia, inflamed or torn tendons, muscle pain or weakness, prolonged QTc interval, mood or behaviour changes, insomnia"
WHO_TB_handbook_module1_TPT_2024,Table 3.,12,Absorption,Best absorbed on an empty stomach; up to 50% reduction in peak concentration with a fatty meal,Oral rifapentine bioavailability is 70%; peak concentration increased if given with a meal,Rifampicin absorption is rapid but may be delayed or decreased by high-fat meals.,,Same as 3HP,Same as 6H,"Absorption is not influenced by food. Concomitant steroid use may increase risk of tendon rupture. Multivalent cationcontaining products including antacids (may contain aluminium ), mineral supplements (e.g. iron or magnesium) or multivitamins may decrease absorption. Effect of warfarin may be enhanced."
