doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module2_screening_2021,Table 2.3,1,Potential site of screening,Risk group,
WHO_TB_handbook_module2_screening_2021,Table 2.3,2,Community,Populations of geographical areas with a high prevalence of TB (estimated to be 0.5% or higher),
WHO_TB_handbook_module2_screening_2021,Table 2.3,3,,"Subpopulations with limited access to health care and with structural risk factors for TB, including those living in poor urban communities, homeless communities, communities in remote or isolated areas, indigenous or tribal communities or other vulnerable or marginalized groups with limited access to health care",
WHO_TB_handbook_module2_screening_2021,Table 2.3,4,Outpatient and hospital inpatient departments and primary health-care centres,People previously treated for or exposed to TB,
WHO_TB_handbook_module2_screening_2021,Table 2.3,5,,People with an untreated fibrotic lesion shown on CXR,
WHO_TB_handbook_module2_screening_2021,Table 2.3,6,,People with chronic respiratory disease,
WHO_TB_handbook_module2_screening_2021,Table 2.3,7,,People presenting with pneumonia,
WHO_TB_handbook_module2_screening_2021,Table 2.3,8,,People with diabetes mellitus,
WHO_TB_handbook_module2_screening_2021,Table 2.3,9,,People who smoke,
WHO_TB_handbook_module2_screening_2021,Table 2.3,10,,Undernourished people or people with a body mass index ≤ 18,
WHO_TB_handbook_module2_screening_2021,Table 2.3,11,,People who have had a gastrectomy or jejuno-ileal bypass,
WHO_TB_handbook_module2_screening_2021,Table 2.3,12,,People with alcohol use disorder or drug use disorder,
WHO_TB_handbook_module2_screening_2021,Table 2.3,13,,People with chronic renal failure,
WHO_TB_handbook_module2_screening_2021,Table 2.3,14,,People on treatments that compromise their immune system,
WHO_TB_handbook_module2_screening_2021,Table 2.3,15,,Older people (60 years and older),
WHO_TB_handbook_module2_screening_2021,Table 2.3,16,,Women who are pregnant (and up to 3 months postpartum),
WHO_TB_handbook_module2_screening_2021,Table 2.3,17,,"General outpatients and inpatients (in settings where the prevalence of both TB and of TB risk factors is high, it may be logistically more feasible to screen all health centre attendees)",
WHO_TB_handbook_module2_screening_2021,Table 2.3,18,,People in mental health clinics or institutions,
WHO_TB_handbook_module2_screening_2021,Table 2.3,19,Residential institutions,People living in shelters,
WHO_TB_handbook_module2_screening_2021,Table 2.3,20,,Other congregate institutions (such as the military),
WHO_TB_handbook_module2_screening_2021,Table 2.3,21,,Immigrants from settings with a high prevalence of TB,
WHO_TB_handbook_module2_screening_2021,Table 2.3,22,Immigration and refugee services,People in refugee camps,
WHO_TB_handbook_module2_screening_2021,Table 2.3,23,,Internally displaced persons,
WHO_TB_handbook_module2_screening_2021,Table 2.3,24,,Migrant workers,
WHO_TB_handbook_module2_screening_2021,Table 2.3,25,Workplaces with high occupational exposure,People working in TB or veterinary medicine laboratories,
WHO_TB_handbook_module2_screening_2021,Table 2.3,26,,Prison guards and other workers in penitentiary facilities,
WHO_TB_handbook_module2_screening_2021,Table 2.3,27,,Other workplaces with a high prevalence of TB,
WHO_TB_handbook_module2_screening_2021,Table 2.3,28,,Health-care workers,
