doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH,ColumnI,ColumnJ,ColumnK,ColumnL,ColumnM
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,1,Class,Test,Manufacturer,Instrument(s),Gene target(s),DST,Claimed LoD,Sample type recommended,Time to results,WHO recommendations,Key infrastructure requirements,"Reagent storage, shelf life",Number of tests per 8-hour shift
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,2,Low- complexity automated NAAT,Truenat MTB Plus,Molbio,"Truelab Uno, Duo, Quattro","nrdZ , IS6110",No,30 CFU/mL,"Sputum, tracheal aspirate, bronchoalveolar lavage, nasopharyngeal aspirate and gastric aspirate",60 min,Initial TB and use for concurrent testing of PLHIV,"Battery operated, power to charge, operating temperature 15–40 °C","2–30 °C, 2 years",7–9 per reaction chamber
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,3,,Truenat MTB-RIF Dx,Molbio,"Truelab Uno, Duo and Quattro",rpoB,RIF,N/A,"Sputum, tracheal aspirate, bronchoalveolar lavage, nasopharyngeal aspirate and gastric aspirate",60 min,Reflex testing for RIF resistance after performing the MTB Plus test,"Battery operated, power to charge, operating temperature 15–40 °C","2–30 °C, 2 years",7–9 per reaction chamber
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,4,,Xpert MTB/ RIF Ultra,Cepheid,"GeneXpert I, II, IV, XVI and Infinity 6- or 10-colour module","IS6110, IS1081, rpoB",RIF,16 CFU/mL,"Sputum, tracheal aspirate, bronchoalveolar lavage, nasopharyngeal aspirate, gastric aspirate, stool, CSF, lymph node tissue aspirates, pleural tissue, pleural fluid, synovial fluid, peritoneal fluid and pericardial fluid",90 min,"Initial detection of TB and RIF resistance, and use for concurrent testing of children and PLHIV","Stable power, operating temperature ≤30 °C","2–28 °C, 9 months",3–4 per module
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,5,Moderate-complexity automated NAAT,RealTi m e MTB,Abbott,m 2000rt,"IS6110, PAB",No,17 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",7 h,Initial detection of TB,"Stable power, free-standing instrument, weight >300 kg","–15 °C to – 25 °C, 18 months",94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,6,,RealTi m e MTB RIF/ INH,Abbott,m2000rt,"rpoB , katG , inhA","RIF, INH",60 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",7 h,Reflex testing for RIF and INH resistance after performing the RealTi m e MTB test,"Stable power, free-standing instrument, weight >300 kg","–15 °C to – 25 °C, 12 months",94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,7,,BD MAX MDR- TB,Becton Dickinson,BD MAX,"IS6110 , IS1081 , rpoB , katG , inhA","RIF, INH",20 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",<4 h,Initial detection of MTBC and RIF and INH resistance,Stable power,"2–28 °C, 9 months",24
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,8,,FluoroType MTB,Bruker- Hain,"FluoroCycler 12, FluoroCycler XT",IS6110,No,15 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",2.5 h,Initial diagnosis of TB disease,Stable power,"–15 °C to – 25 °C, on request",Up to 94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,9,,FluoroType MTBDR,Bruker- Hain,"FluoroCycler 12, FluoroCycler XT","rpoB , katG , inhA","RIF, INH",20 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",2.5 h,Follow-on testing for RIF and INH resistance detection after performing the FluoroType MTB test,Stable power,"–15 °C to – 25 °C, on request",Up to 94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,10,,cobas MTB,Roche,"cobas 5800, 6800, 8800","16S rRNA , esx",No,9 CFU/mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",3.5 h,Initial diagnosis of TB disease,"Stable power, free-standing instrument, weight >600 kg","2–8 °C, 18 months",94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,11,,cobas MTB-RIF/ INH,Roche,"cobas 5800, 6800, 8800","rpoB , katG , inhA","rifampicin, isoniazid",180 CFU/ mL,"Sputum, tracheal aspirate and bronchoalveolar lavage",3.5 h,Follow-on testing for RIF and INH resistance detection after performing the cobas MTB test,"Stable power, free-standing instrument, weight >600 kg","2–8 °C, 16 months",94
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,12,Low- complexity manual NAAT,TB- LAMP,Eiken Chemical,HumaLoop T,"IS6110, gyrB",No,N/A,"Sputum, tracheal aspirate, bronchoalveolar lavage and gastric aspirate",90 min,Initial diagnosis of TB disease,"Battery operated, power to charge, operating temperature 15–40 °C","2–30 °C, 14 months",70
WHO_TB_handbook_module3_diagnosis_2025,Table 2.2.,13,Lateral flow lipo- arabino-mannan detection,Determine TB LAM Ag,Abbott,N/A,LF- LAM antigen detection,No,N/A,Urine,25 min,Initial diagnosis of TB disease among PLHIV,No testing infrastructure; private urine collection infrastructure,"2–30 °C, 18 months",N/A
