doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,1,Drug,Description and ingredients,Manufacturer (Catalogue No.),Quantity,GDF Catalogue No,GDF Quantity,Storage
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,2,Levofloxacin,>98% HPLC,Sigma- Aldrich (28266-IG- F),1 g,106560,1 g,RT
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,3,Moxifloxacin BACTEC MGIT vial,Moxifloxacin Hydrochloride 249ug/vial,BD REF: 215404,6 vials of 249 µg each,106975,6 vials of 249 µg each,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,4,Bedaquiline,Bedaquiline fumarate 12 mg BDQ fumarate salt equivalent to 10 mg BDQ base,Available (free of charge) a through BEI Resources b,20 mg,Not applicable,Not applicable,RT
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,5,Bedaquiline BACTEC MGIT vial,Bedaquiline fumarate 170 µg (active) Ficoll (inactive). Contents of vial soluble in 2 mL DMSO),BD REF: 215449,170 µg (2 vials),106976,2 vials of 170 µg,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,6,Ethionamide,"830 µg (active); Ficoll (inactive) Contents of vial soluble in 4 mL sterile, distilled water",BD REF: 215355,830 µg (6 vials),Please refer to GDF catalogue or contact GDF or manufacturer for more information,Contact GDF or BD,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,7,,Pure substance,Sigma Aldrich (E6005),5 g,106316,5g,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,8,Linezolid,Pure substance ≥ 98% activity,Sigma (PZ0014–5MG); (PZ0014–25MG) Cayman Chemical (CAS 165800–03– 3),5 mg / 25 mg 25mg,106653,25 mg,RT
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,9,Clofazimine,Pure substance,Sigma-Aldrich (C8895– 1G),1 g,106654,1 g,RT
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,10,Delamanid,Pure substance,Available through: BEI Resources b,20 mg,Not applicable,Not applicable,RT (protect from light and heat)
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,11,Amikacin,Amikacin disulfate salt potency: 674–786 µg per mg (as amikacin base),Sigma-Aldrich (A1774– 250MG),250 mg,106318,5 g,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,12,,,BD REF 215350,6 vials of 332 µg each,106586,6 vials of 332 µg each,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,13,Streptomycin,Streptomycin sulphate. Potency ≥720 µg per mg (as streptomycin base),Sigma-Aldrich (D7253– 5G),5 g,106311,5 g,2– 8°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,14,Pretomanid,Pure substance,Available through: BEI Resources b,40 mg,Not applicable,Not applicable,RT
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,15,,,Sigma-Aldrich (SML1290),10 or 50 mg,Please refer to GDF catalogue or contact GDF or manufacturer for more information,Please refer to GDF catalogue or contact GDF or manufacturer for more information,– 20°C
WHO_TB_handbook_module3_diagnosis_2025,Table A2.1.,16,Cycloserine,Pure- substance ≥ 98%,Sigma-Aldrich (C6880),1 mg or 5 mg,Not available,Not available,See footnote c
