doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,1,Outcome,Definition,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,2,Treatment failed,A patient whose treatment regimen needed to be terminated or permanently changed a to a new regimen or treatment strategy.,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,3,Cured,"A patient with pulmonary TB with bacteriologically confirmed TB at the beginning of treatment who completed treatment as recommended by the national policy, with evidence of bacteriological response b and no evidence of failure.",
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,4,Treatment completed,A patient who completed treatment as recommended by the national policy but whose outcome does not meet the definition for cure or treatment failure.,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,5,Died,A patient who died c before starting treatment or during the course of treatment.,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,6,Lost to follow-up,A patient who did not start treatment or whose treatment was interrupted for 2 consecutive months or more.,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,7,Not evaluated,A patient for whom no treatment outcome was assigned. d,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,8,Treatment success,The sum of all patients cured and treatment completed.,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,9,An optional definition was also proposed for use in operational research only,,
WHO_TB_handbook_module4_treatment_2025,Table 1.10.1.,10,Sustained treatment success,"An individual assessed at 6 months (for DS-TB and DR-TB) and at 12 months (for DR-TB only) after successful TB treatment, who is alive and free of TB",
