doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,1,Hepatitis C treatment regimens [ a ],Lfx / Mfx,Am,Lzd,Cfz,PAS/Cs/Eto,Bdq,Dlm
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,2,First-line drugs,,,,,,,
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,3,"Glecaprevir , pibrentasvir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential weak interaction unlikely to be clinically significant
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,4,"Sofosbuvir, velpatasvir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,5,"Elbasvir, grazoprevir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential weak interaction unlikely to be clinically significant
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,6,"Ledipasvir, sofosbuvir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,Potential weak interaction unlikely to be clinically significant
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,7,Alternative,,,,,,,
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,8,"Paritaprevir , ritonavir, ombitasvir , dasabuvir, ribavirin",Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential clinically significant interaction
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,9,"Paritaprevir , ritonavir, ombitasvir , ribavirin",Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential clinically significant interaction
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,10,"Simeprevir , sofosbuvir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential weak interaction unlikely to be clinically significant
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,11,"Daclatasvir, sofosbuvir",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant
WHO_TB_handbook_module4_treatment_2025,Table 2.8.1.,12,"Elbasvir, grazoprevir, ribavirin",No clinically significant interaction expected,No clinically significant interaction expected,No clinically significant interaction expected,Potential weak interaction unlikely to be clinically significant,No clinically significant interaction expected,Potential clinically significant interaction,Potential weak interaction unlikely to be clinically significant
