doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module4_treatment_2025,Table 6.,1,Category: Medicines [ * ],,
WHO_TB_handbook_module4_treatment_2025,Table 6.,2,Albuterol metered-dose inhaler,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,3,"Amitriptyline, oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,4,"Bisacodyl (Senna), oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,5,"Dexamethasone, oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,6,"Diazepam, oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,7,"Diphenhydramine (chlorpheniramine, cyclizine or dimenhydrinate) oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,8,"Fluconazole, oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,9,"Fluoxetine (sertraline and citalopram), oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,10,"Furosemide, oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,11,"Guaifenesin, oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,12,"Haloperidol, oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,13,"Hyoscine butylbromide , oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,14,"Ibuprofen (naproxen, diclofenac or meloxicam), oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,15,"Lactulose (sorbitol or polyethylene glycol), oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,16,"Loperamide, oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,17,"Metoclopramide, oral and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,18,"Metronidazole, oral – to be crushed for topical use",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,19,"Morphine, oral fast-acting and injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,20,"Naloxone, injectable",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,21,Omeprazole oral,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,22,Oxygen,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,23,"Paracetamol, oral",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,24,Petroleum jelly,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,25,Category: Equipment,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,26,N-95 respirator masks,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,27,Surgical masks,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,28,Antimicrobial hand wash,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,29,Spacers for metered-dose inhalers,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,30,Pressure-reducing mattress,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,31,Nasogastric drainage & feeding tube,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,32,Urinary catheters,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,33,"Opioid lock box, only for hospitals & clinics",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,34,Flashlight with rechargeable battery (if no access to electricity),,
WHO_TB_handbook_module4_treatment_2025,Table 6.,35,Adult diapers/cotton and plastic,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,36,Category: Social supports [ ** ],,
WHO_TB_handbook_module4_treatment_2025,Table 6.,37,Cash payment monthly for housing or school tuition,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,38,Food package monthly,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,39,"In-kind support once per patient or caregiver, including blanket, sleeping mat, shoes, soap, toothbrush, toothpaste",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,40,Transportation costs to receive health care,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,41,"Funeral costs, once, only if patient & caregiver in extreme poverty",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,42,Category: Human resources for palliative care [ *** ],,
WHO_TB_handbook_module4_treatment_2025,Table 6.,43,Doctor with at least basic training in palliative care (specialist or general practitioner),,
WHO_TB_handbook_module4_treatment_2025,Table 6.,44,Nurse with at least basic training in palliative care (specialist or general),,
WHO_TB_handbook_module4_treatment_2025,Table 6.,45,"Social worker, psychologist or counsellor",,
WHO_TB_handbook_module4_treatment_2025,Table 6.,46,Pharmacist,,
WHO_TB_handbook_module4_treatment_2025,Table 6.,47,Community health workers/TB treatment supporters,,
