doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH,ColumnI,ColumnJ,ColumnK,ColumnL,ColumnM,ColumnN
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,1,M edicine,"Formulation (tablets, diluted in 10 mL of water, as applicable)",3–<5 kg,5–<7 kg,7–<10 kg,10–<16 kg,16–<24 kg,24–<30 kg,30–<36 kg,36–<46 kg,46–<56 kg,56–<70 kg,≥70 kg,Comments
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,2,Levofloxacin,100 mg dt (10 mg/mL),5 mL (0.5 dt),1,1.5,2,3,–,–,–,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,3,Levofloxacin,250 mg tab (25 mg/mL),2 mL [ b],5 mL (0.5 tab) [ b],5 mL (0.5 tab) [ b],1,1.5,2,3,3,4,4,4,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,4,Levofloxacin,500 mg tab,–,–,–,–,–,1,1.5,1.5,2,2,2,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,5,Levofloxacin,750 mg tab,–,–,–,–,–,–,1,1,1.5,1.5,1.5,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,6,Moxifloxacin,100 mg dt (10 mg/mL),4 mL,8 mL,1.5,2,3,4,4,4,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,7,Moxifloxacin,400 mg tab (40 mg/mL) Standard dose,1 mL [ b],2 mL [ b],3 mL [ b],5 mL (0.5 tab) [ b],7.5 mL,1,1,1,1,1,1,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,8,Moxifloxacin,400 mg tab high dose c,–,–,–,–,–,–,1 or 1.5,1.5,1.5 or 2,2,2,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,9,Bedaquiline,20 mg dt,0 to <3 months: 1.5 od (2 weeks); then 0.5 od M/W/F (22 weeks) ≥ 3 months: 3 od for 2 weeks; then 1 od M/W/F for 22 weeks,0 to <3 months: 1.5 od (2 weeks); then 0.5 od M/W/F (22 weeks) ≥ 3 months: 3 od for 2 weeks; then 1 od M/W/F for 22 weeks,0 to <3 months: 1.5 od for weeks; then 0.5 od M/W/F 3 to <6 months: 3 od for 2 weeks; then 1 od M/W/F ≥6 months: 4 od for 2 weeks; then 2 od M/W/F,3 to <6 months: 3 od for 2 weeks; then 1 od M/W/F ≥ 6 months: 6 od for 2 weeks; then 3 od M/W/F,10 od for 2 weeks; then 5 od M/W/F,10 od for 2 weeks; then 5 od M/W,20 od for 2 weeks; then 10 od M/W/F,20 od for 2 weeks; then 10 od M/W/F,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,10,Bedaquiline,100 mg tab (10 mg/mL) [ d],0 to <3 months: 3 mL od for 2 weeks; then 1 mL od M/W/F [ b] ≥3 months: 6 mL od for 2 weeks; then 2 mL od M/W/F [ b],0 to <3 months: 3 mL od for 2 weeks; then 1 mL od M/W/F [ b] ≥3 months: 6 mL od for 2 weeks; then 2 mL od M/W/F [ b],0 to <3 months: 3 mL od for 2 weeks; then 1 mL od M/W/F [ b] 2 to <6 months: 6 mL od for 2 weeks; then 2 mL od M/W/F [ b] ≥6 months: 8 mL od for 2 weeks; then 4 mL od M/W/F [ b],3 to <6 months: 6 mL od for 2 weeks; then 2 mL od M/W/F [ b] ≥6 months: 12 mL od for 2 weeks; then 6 mL od M/W/F [ b],2 od for 2 weeks; then 1 od M/W/F,2 od for 2 weeks; then 1 od M/W/F,4 od for 2 weeks; then 2 od M/W/F,4 od for 2 weeks; then 2 od M/W/F,4 od for 2 weeks; then 2 od M/W/F,4 od for 2 weeks; then 2 od M/W/F,4 od for 2 weeks; then 2 od M/W/F,–
