doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,1,System,Medicine,Adverse event,Severity,Frequency,Management,Caution
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,2,Dermatological,Rifampicin Isoniazid Ethambutol Pyrazinamide,Maculopapular rash Pruritis,Mild to severe,Common,Antihistamines Hydrocortisone cream Low-dose prednisone if other measures fail,Discontinue medicine for: systemic symptoms fever urticaria mucous membrane involvement blistering of skin oedema of lips or eyes wheezing or compromise of airway
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,3,Dermatological,Rifampicin Pyrazinamide,Transient flushing reactions,Mild,Rare,Antihistamines,
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,4,Dermatological,Pyrazinamide,Photosensitivity,Mild to severe,Common,Sunscreen Coverage of exposed areas,
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,5,Dermatological,Rifampicin Isoniazid Pyrazinamide Ethambutol,Severe urticaria or anaphylaxis,Severe,Rare,Referral for evaluation of possible re-challenge or desensitization,Management requires controlled environment with capacity for resuscitation
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,6,Systemic,Rifampicin,Hypersensitivity reactions Flu-like syndrome,Moderate to severe,Rare with daily dosing,Convert to daily dosing if delivering medicine intermittently Typically develops after several months of treatment,"For other, more severe hypersensitivity (beyond flu-like symptoms) reactions, rifampicin may have to be stopped"
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,7,Haematological,Isoniazid Rifampicin,"Marrow suppression, which may result in decreased haemoglobin , platelets and white blood cells",Mild to severe,Rare,"Consider discontinuation for severe anaemia , leukopenia or thrombocytopenia that worsens on treatment",Children with TB may have suppressed cell lines at baseline without drugrelated effects
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,8,Neurotoxicity,Isoniazid,Peripheral neuropathy,Mild to severe,Common in severely malnourished and children living with HIV Otherwise rare,Check and correct electrolyte abnormalities Evaluate other medicines for contribution Assess pyridoxine dose and increase if needed Trial low-dose nonsteroidal antiinflammatories or acetaminophen,Isoniazid-related peripheral neuropathy generally improves after discontinuation Monitor extremity reflexes and gait in all infants and children
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,9,Ophthalmic,Ethambutol Isoniazid,Optic neuropathy Neuritis,Severe,Very rare in children,Refer if there are concerns about decreased acuity or colour discrimination developing on treatment,Conduct baseline visual acuity and colour vision assessment in older children Observe fixation and tracking in infants
WHO_TB_handbook_module5_pediatrics_2022,Table 5.9.,10,Hepatic,Isoniazid Rifampicin Pyrazinamide,Hepatitis Symptoms of unexplained nausea Decreased appetite and vomiting may appear before jaundice,Mild to severe,Rare in most children but more common in children living with HIV,"Discontinue if >5 times upper limit of normal, or >3 times upper limit of normal with hepatitis symptoms and refer for staged reintroduction If <5 times upper limit of normal, or <3 times upper limit of normal with symptoms of hepatitis, monitor closely",Rifampicin is more commonly associated with cholestatic pattern Isoniazid and pyrazinamide more commonly result in isolated ALT/AST increases
