doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,1,Age,ART regimen,"Changes needed for children on ART who are starting TB treatment, or for children starting ART while on TB treatment"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,2,Neonates (first 28 days of life),RAL-based ( Preferred ART regimen for initiation in neonates and children on TB treatment ),"Dose adjustment is needed: double the twice-daily dose while on TB treatment From age 4 weeks and weight >3 kg, transition to DTG-based regimen If neonate is on AZT, switch to ABC after neonatal period"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,3,Neonates (first 28 days of life),NVP-based,Change of regimen is needed: substitute NVP as soon as possible with DTG or LPV/r (with appropriate dose adjustment; see under DTG- and LPV/r-based regimens for children)
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,4,Children,DTG-based ( Preferred ART regimen for initiation in neonates and children on TB treatment ),Dose adjustment is needed: dose DTG twice daily instead of once daily while on TB treatment
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,5,Children,LPV/r-based,"Transition to DTG-based regimen (with appropriate dose adjustment) is preferable If not possible, LPV/r dose adjustment is needed: ritonavir (RTV) dose needs to be “super-boosted” to achieve same dose as LPV in mg, in a ratio equal to or approaching 1 : 1"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,6,Children,RAL-based,"Transition to DTG-based regimen (with appropriate dose adjustment) is preferable; if not possible, RAL dose adjustment is needed: double the twice-daily dose while on TB treatment"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,7,Children,TAF containing,Change of regimen is needed: substitute TAF with ABC or TDF
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,8,Children,ATV/r-based,Change of regimen is needed: replace ATV/r with DTG if DTGnaive or with LPV/r if DTG-experienced (with appropriate dose adjustment)
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,9,Children,DRV/r-based,Change of regimen is needed: replace DRV/r with DTG if DTG naive or with LPV/r if DTG-experienced (with appropriate dose adjustment)
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,10,Adolescents,DTG-based,Dose adjustment is needed: adjust dose of DTG (50 mg twice daily instead of 50 mg once daily)
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,11,Adolescents,LPV/r-based,"Transition to DTG-based regimen (with appropriate dose adjustment) is preferable If not possible, LPV/r dose adjustment is needed: “double-dose” LPV 800 mg/RTV 200 mg twice daily or “super-boosted” with LPV 400 mg/RTV 100 mg twice daily plus additional doses of RTV 300 mg twice daily Note: rifapentine (e.g. the 4-month treatment regimen for drugsusceptible TB consisting of HPZM) should not be used"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,12,Adolescents,RAL-based,"Transition to DTG-based regimen (with appropriate dose adjustment) is preferable If not possible, RAL dose adjustment is needed: adjusted dose of RAL (800 mg twice daily instead of 400 mg twice daily)"
WHO_TB_handbook_module5_pediatrics_2022,Table 7.2.,13,Adolescents,Other regimens,See under children
