doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,1,A. Core global and national indicators,,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,2,These are essential indicators to monitor and report progress at both global and national level.,,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,3,Source (indicator reference),Indicator description,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,4,Global Tuberculosis Programme a,1. Percentage of people diagnosed with a new episode of TB whose HIV status was documented,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,5,Global Tuberculosis Programme a,2. Percentage of people living with HIV diagnosed with a new episode of TB who were on or newly enrolled on antiretroviral treatment,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,6,Global Tuberculosis Programme a,3. Percentage of people living with HIV diagnosed with TB (rifampicin-susceptible or unknown) who were started on a TB treatment regimen designed to treat rifampicin-susceptible TB.,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,7,Global Tuberculosis Programme a,4. Percentage of people living with HIV diagnosed with TB (rifampicin-susceptible or unknown) with a treatment outcome in each of the following categories out of those diagnosed with TB (rifampicin-susceptible or unknown): success (cured + treatment completed); treatment failed; died: lost to follow-up; not evaluated,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,8,UNAIDS b (GAM 7.7),5. Percentage of people living with HIV estimated to have incident tuberculosis (TB) that received treatment for both TB and HIV,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,9,WHO HIV c (TBH.4 ); UNAIDS b (GAM 7.8),6. Percentage of people living with HIV newly enrolled on HIV treatment diagnosed with tuberculosis (TB) disease during the reporting period,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,10,WHO HIV c (TBH.1 ); UNAIDS b (GAM 7.9),7. Percentage of people living with HIV (currently enrolled and newly enrolled) on ART who started TB preventive treatment during the reporting period 8. Percentage of people living with HIV currently enrolled on ART who have started TB preventive treatment prior to the reporting period,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,11,WHO HIV c (TBH.2 ); UNAIDS b (GAM 7.10),9. Percentage of people living with HIV currently on ART initiating tuberculosis (TB) preventive treatment who completed a course of TB preventive treatment,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,12,B. Core national indicators,,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,13,"In addition to the core indicators in section A, the following are also core indicators essential for national-level monitoring and reporting. The indicators DFT.1–DFT.5 are recommended for use in countries with a high TB/HIV burden but may be adopted in any country.",,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,14,Source (indicator reference),Indicator description,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,15,WHO HIV c (TBH.3),"10 . Percentage of people living with HIV with TB symptoms who receive a rapid molecular test, for example, Xpert MTB/RIF, as a first test for diagnosis of TB",
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,16,WHO HIV c (DFT.1),11 . Percentage of people living with HIV newly initiated on ART who were screened for TB,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,17,WHO HIV c (DFT.2),12 . Percentage of people living with HIV newly initiated on ART who were screened for TB symptoms d and who screened positive,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,18,WHO HIV c (DFT.3),13 . Percentage of people living with HIV newly initiated on ART and screened positive for TB symptoms d who then are tested for TB,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,19,WHO HIV c (DFT.4),14 . Percentage of people living with HIV newly initiated on ART and tested for TB who are diagnosed with TB disease,
WHO_TB_handbook_module6_comorbidities_2024,Table A1.1,20,WHO HIV c (DFT.5),15 . Percentage of people living with HIV newly initiated on ART and diagnosed with TB who initiated TB treatment,
