doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH,ColumnI,ColumnJ,ColumnK,ColumnL,ColumnM,ColumnN,ColumnO,ColumnP,ColumnQ,ColumnR,ColumnS,ColumnT
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,1,Subgroup,Alg. Sens,Alg. Spec,% Cases missed,PTP,TP,FP,TN,FN,PPV,NPV,N tested,TP,FP,TN,FN,PPV,NPV,NNS,NNT
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,2,CD4 <200,73.8%,98.6%,26.2%,5%,43,285,665,7,6.1,97.6,708,37,652,13,6,73.5,99.1,28,20
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,3,,,,,10%,86,270,630,14,12.0,95.1,716,74,617,13,12,85.4,98.1,14,10
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,4,,,,,15%,129,255,595,21,17.8,92.4,724,111,583,12,18,90.3,97.0,10,7
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,5,,,,,20%,172,240,560,28,23.5,89.6,732,148,549,11,24,93.0,95.8,7,5
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,6,,,,,30%,258,210,490,42,34.5,83.3,748,222,480,10,36,95.8,92.9,5,4
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,7,CD4 >200,59.2%,99.0%,40.8%,1%,7,475,515,3,1.3,99.4,522,6,505,10,1,36.5,99.8,169,89
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,8,,,,,5%,35,456,494,16,6.5,96.7,529,30,484,10,5,75.0,99.0,34,18
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,9,,,,,10%,69,432,468,31,12.8,93.3,537,59,459,9,10,86.4,97.9,17,10
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,10,Outpatients not on ART,72.1%,98.7%,27.9%,1%,8,366,624,2,1.3,99.6,632,7,611,12,1,36.6,99.8,139,88
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,11,,,,,5%,42,352,599,8,6.6,97.8,641,36,587,12,6,75.1,99.0,28,18
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,12,,,,,10%,84,333,567,16,12.9,95.4,651,72,556,11,12,86.4,97.9,14,10
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,13,Outpatients on ART,45.5%,99.4%,54.5%,1%,5,693,297,5,1.8,99.3,302,5,291,6,1,43.4,99.7,220,67
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,14,,,,,5%,27,665,285,24,8.5,96.6,312,23,279,6,4,80.0,98.7,44,14
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,15,,,,,10%,53,630,270,47,16.4,93.1,323,46,265,5,7,89.4,97.2,22,8
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,16,Inpatients,82.4%,98.2%,17.6%,5%,48,105,846,2,5.4,98.1,894,41,829,17,7,70.9,99.2,25,22
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,17,,,,,10%,96,99,801,4,10.7,96.1,897,82,785,16,14,83.7,98.3,13,11
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,18,,,,,15%,144,94,757,6,16.0,94.0,901,124,741,15,20,89.1,97.3,9,8
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,19,,,,,20%,192,88,712,8,21.2,91.7,904,165,698,14,27,92.0,96.3,7,6
WHO_TB_handbook_module6_comorbidities_2024,Table A2.1.,20,,,,,30%,288,77,623,12,31.6,86.5,911,247,611,12,41,95.2,93.7,5,4
