doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH,ColumnI,ColumnJ,ColumnK,ColumnL,ColumnM,ColumnN,ColumnO,ColumnP,ColumnQ,ColumnR,ColumnS,ColumnT
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,1,Subgroup,Alg. Sens,Alg. Spec,% Cases missed,PTP,TP,FP,TN,FN,PPV,NPV,N tested,TP,FP,TN,FN,PPV,NPV,NNS,NNT
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,2,CD4 <200 73.8%,99.1%,26.2%,5%,43,523,428,7,9.1,98.7,471,37,419,9,6,81.2,98.6,28,13,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,3,,,,10%,86,495,405,14,17.5,97.2,491,74,397,8,12,90.1,97.0,14,7,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,4,,,,15%,129,468,383,21,25.2,95.7,512,111,375,8,18,93.5,95.4,10,5,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,5,,,,20%,172,440,360,28,32.3,94.0,532,148,353,7,24,95.4,93.6,7,4,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,6,,,,30%,258,385,315,42,45.0,90.2,573,222,309,6,36,97.2,89.4,5,3,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,7,CD4 >200 60.1%,99.5%,39.9%,1%,7,723,267,3,2.6,99.6,274,6,262,5,1,52.9,99.6,167,46,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,8,,,,5%,35,694,257,15,12.0,97.9,292,30,251,5,5,85.4,98.1,34,10,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,9,,,,10%,70,657,243,30,22.4,95.6,313,60,238,5,10,92.5,96.0,17,6,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,10,Outpatients 72.1% not on ART,99.3%,27.9%,1%,8,634,356,2,2.3,99.7,365,7,349,7,1,50.3,99.7,139,51,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,11,,,,5%,42,608,342,8,10.9,98.7,384,36,335,7,6,84.1,98.3,28,11,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,12,,,,10%,84,576,324,16,20.6,97.3,408,72,318,6,12,91.8,96.4,14,6,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,13,Outpatients 6.9% on ART,99.9%,93.1%,1%,1,950,40,9,2.0,99.0,40,1,39,1,0,46.4,99.7,1456,59,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,14,,,,5%,4,912,38,46,9.5,95.2,42,3,37,1,1,81.9,98.5,292,13,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,15,,,,10%,8,864,36,92,18.2,90.4,44,7,35,1,1,90.5,96.9,146,7,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,16,Inpatients 81.6%,98.4%,18.4%,5%,48,190,760,3,5.9,98.7,808,41,745,15,7,72.8,99.1,25,20,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,17,,,,10%,95,180,720,5,11.7,97.3,815,82,706,14,13,85.0,98.1,13,10,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,18,,,,15%,143,170,680,8,17.3,95.8,823,122,666,14,20,90.0,97.1,9,7,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,19,,,,20%,190,160,640,10,22.9,94.1,830,163,627,13,27,92.7,95.9,7,6,
WHO_TB_handbook_module6_comorbidities_2024,Table A2.3,20,,,,30%,285,140,560,15,33.7,90.3,845,245,549,11,40,95.6,93.2,5,4,
